name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Amsterdam - conveniently located,De Baarsjes - Oud-West,Entire home/apt,1.0,1.0,4,1,120.0,0,22,95.0,52.37276,4.87285,1
peaceful stay near city centre,Buitenveldert - Zuidas,Entire home/apt,1.0,1.0,2,4,179.0,362,20,92.0,52.3358,4.8670599999999995,0
Beautiful apartment + Lovely garden.,De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.0,3,4,150.0,0,16,99.0,52.35555,4.90146,0
Bright central studio with terrace,Zuid,Entire home/apt,1.0,1.0,2,2,140.0,360,55,99.0,52.35217,4.88042,0
Pretty apt in the center of A'dam,Centrum-Oost,Private room,1.0,1.0,2,3,83.0,0,103,96.0,52.37226,4.90191,1
Super nice place in Amsterdam!!,Westerpark,Private room,1.0,1.5,2,3,70.0,356,199,93.0,52.38353,4.88069,0
Southern Comfort near Vondelpark,Zuid,Private room,1.0,1.5,3,4,65.0,365,369,97.0,52.349340000000005,4.86913,1
"Spacious, 2 bedrooms & garden close to the centre!",De Baarsjes - Oud-West,Entire home/apt,2.0,1.0,4,3,150.0,0,10,98.0,52.3684,4.86064,0
AMS CENTRAL FAMILY HOME with huge garden.,De Baarsjes - Oud-West,Entire home/apt,2.0,1.5,2,2,206.0,0,26,96.0,52.36671,4.87275,0
Loft right in the city centre,Centrum-Oost,Entire home/apt,4.0,2.0,4,5,245.0,0,15,96.0,52.360690000000005,4.89302,0
Appartment in centre of Amsterdam.,Centrum-Oost,Entire home/apt,3.0,1.5,5,3,225.0,0,34,94.0,52.37076,4.90295,0
Private Studio on Spectacular Houseboat,Westerpark,Private room,1.0,1.0,2,2,124.0,236,458,99.0,52.39103,4.88406,1
Comfy house with garden in De Pijp,De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.5,4,3,300.0,0,76,91.0,52.35403,4.899830000000001,0
Sunny & central located apartment near Albert Cuyp,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,3,2,193.0,0,16,87.0,52.35239,4.88894,0
Quiet large park side apartment,Slotervaart,Entire home/apt,1.0,1.0,2,7,105.0,0,10,96.0,52.35933,4.8415099999999995,0
Bright & spacious design apt. in quiet area,Bos en Lommer,Entire home/apt,1.0,1.0,2,3,165.0,71,22,99.0,52.37809,4.85039,0
Jacky's place,Oud-Noord,Entire home/apt,1.0,1.0,2,4,100.0,0,10,96.0,52.387229999999995,4.91974,0
Amsterdam Family Home,Oud-Noord,Entire home/apt,3.0,1.5,5,4,170.0,0,20,96.0,52.39387,4.916869999999999,0
Large 3 bedroom apartment surrounde,Centrum-Oost,Entire home/apt,3.0,1.0,6,3,360.0,339,176,89.0,52.3709,4.91308,0
Casa Bacco @ Amsterdam city center,Centrum-Oost,Entire home/apt,2.0,1.0,4,180,110.0,0,39,97.0,52.3598,4.89916,0
Sweet ap. with garden and  2 bedrooms...,Oud-Oost,Entire home/apt,2.0,1.5,4,3,100.0,1,45,96.0,52.35045,4.91614,0
Lovely apartment near city centre,Oud-Oost,Entire home/apt,1.0,1.0,2,5,85.0,280,25,94.0,52.35374,4.90931,0
